epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,633.193,1.03211,0.55225,0.93719,0.74686,0.61314,0.75231,0.43737,1.56651,1.13338,1.23637,0.0011882,0.0011882,0.0011882
43,646.549,1.00717,0.54185,0.93563,0.80625,0.67318,0.80342,0.45083,1.59544,1.0434,1.24955,0.0011684,0.0011684,0.0011684
44,659.72,1.01867,0.54366,0.9266,0.70608,0.70832,0.77704,0.44016,1.59392,1.03145,1.25105,0.0011486,0.0011486,0.0011486
45,672.914,1.01028,0.53906,0.92556,0.73429,0.64654,0.74913,0.39903,1.70882,1.09965,1.28611,0.0011288,0.0011288,0.0011288
46,686.315,1.02514,0.54327,0.9339,0.73758,0.7016,0.78172,0.44148,1.58737,1.04064,1.23945,0.001109,0.001109,0.001109
47,699.613,0.99877,0.53203,0.92721,0.74092,0.66963,0.76234,0.41119,1.68087,1.10688,1.27317,0.0010892,0.0010892,0.0010892
48,712.862,0.99761,0.53859,0.92481,0.80886,0.69902,0.80894,0.45874,1.56847,1.11091,1.22362,0.0010694,0.0010694,0.0010694
49,726.073,0.98292,0.52293,0.9285,0.75105,0.6591,0.7622,0.42416,1.63644,1.0452,1.27266,0.0010496,0.0010496,0.0010496
50,739.233,0.99339,0.53232,0.92906,0.76012,0.71048,0.80584,0.461,1.53671,0.93348,1.24455,0.0010298,0.0010298,0.0010298
51,752.585,0.99123,0.52583,0.92521,0.7475,0.70988,0.79211,0.4466,1.5647,1.07686,1.22181,0.00101,0.00101,0.00101
52,768.658,0.98991,0.52743,0.92519,0.8051,0.64569,0.77924,0.42002,1.63758,1.05457,1.2581,0.0009902,0.0009902,0.0009902
53,783.088,0.97985,0.51561,0.92258,0.74347,0.63317,0.75641,0.41101,1.67469,1.09868,1.28326,0.0009704,0.0009704,0.0009704
54,797.719,0.97474,0.51533,0.91679,0.73384,0.68071,0.7655,0.42049,1.62521,1.05399,1.27572,0.0009506,0.0009506,0.0009506
