epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,711.963,0.69688,0.38166,0.85685,0.91971,0.81389,0.8973,0.66989,1.01485,0.8327,0.99818,0.0011684,0.0011684,0.0011684
44,728.099,0.70587,0.38541,0.85484,0.88293,0.80639,0.89779,0.65399,1.056,0.83371,1.01094,0.0011486,0.0011486,0.0011486
45,744.202,0.69408,0.38096,0.85477,0.90775,0.82771,0.90724,0.64165,1.09639,0.72835,1.02905,0.0011288,0.0011288,0.0011288
46,760.402,0.70139,0.38167,0.85796,0.86491,0.85435,0.90411,0.6558,1.05514,0.74808,1.01687,0.001109,0.001109,0.001109
47,776.607,0.69477,0.37864,0.85625,0.90517,0.83079,0.9111,0.65625,1.05372,0.82283,1.0138,0.0010892,0.0010892,0.0010892
48,792.765,0.68201,0.37357,0.85412,0.89157,0.81784,0.89327,0.62519,1.1482,0.87502,1.055,0.0010694,0.0010694,0.0010694
49,808.89,0.68231,0.37316,0.85431,0.9038,0.78428,0.88955,0.62535,1.09427,0.79658,1.04513,0.0010496,0.0010496,0.0010496
50,825.124,0.68387,0.37527,0.85431,0.89166,0.8479,0.91261,0.67382,1.01944,0.71928,1.00645,0.0010298,0.0010298,0.0010298
51,841.311,0.68043,0.36796,0.85177,0.91818,0.73752,0.85925,0.59525,1.15659,0.87182,1.09822,0.00101,0.00101,0.00101
52,857.485,0.68238,0.36848,0.85434,0.89524,0.81967,0.89021,0.61925,1.15688,0.78558,1.06469,0.0009902,0.0009902,0.0009902
53,873.717,0.67399,0.36787,0.85216,0.90723,0.86854,0.92539,0.66922,1.06831,0.67038,1.01604,0.0009704,0.0009704,0.0009704
54,889.922,0.67557,0.36473,0.85046,0.93074,0.84369,0.92493,0.66959,1.06069,0.67493,1.01081,0.0009506,0.0009506,0.0009506
55,906.109,0.67245,0.36844,0.85483,0.92375,0.79617,0.89301,0.62714,1.12832,0.85524,1.05947,0.0009308,0.0009308,0.0009308
56,922.289,0.66523,0.36292,0.84876,0.89918,0.82378,0.91133,0.65142,1.07036,0.67133,1.03352,0.000911,0.000911,0.000911
57,938.476,0.66555,0.36136,0.85012,0.95186,0.79218,0.91854,0.67033,1.05809,0.75782,1.03448,0.0008912,0.0008912,0.0008912
58,954.634,0.66769,0.36122,0.84827,0.90062,0.85312,0.91699,0.66996,1.06024,0.71029,1.03727,0.0008714,0.0008714,0.0008714
59,970.784,0.65985,0.35867,0.84841,0.93464,0.81283,0.90676,0.64431,1.10838,0.76768,1.04435,0.0008516,0.0008516,0.0008516
60,987.583,0.66233,0.35875,0.8485,0.91659,0.8588,0.92714,0.67364,1.06671,0.66699,1.01877,0.0008318,0.0008318,0.0008318
61,1003.96,0.6464,0.35153,0.84386,0.91875,0.83837,0.92431,0.67551,1.05833,0.7682,1.03019,0.000812,0.000812,0.000812
62,1020.03,0.6518,0.35441,0.84879,0.90837,0.80995,0.91023,0.66206,1.08455,0.7974,1.03455,0.0007922,0.0007922,0.0007922
63,1036.11,0.65065,0.35529,0.8454,0.92156,0.81172,0.90788,0.68097,1.00966,0.75527,0.99297,0.0007724,0.0007724,0.0007724
64,1052.18,0.65404,0.35289,0.84464,0.90697,0.82771,0.89281,0.65493,1.04759,0.75954,1.02862,0.0007526,0.0007526,0.0007526
65,1068.38,0.64323,0.34753,0.84252,0.88791,0.83015,0.88133,0.62483,1.09245,0.78737,1.03318,0.0007328,0.0007328,0.0007328
66,1084.44,0.6441,0.3478,0.84749,0.89813,0.81172,0.87958,0.65157,1.0198,0.81094,1.01168,0.000713,0.000713,0.000713
67,1100.64,0.63791,0.3454,0.84194,0.90601,0.85603,0.90959,0.66521,1.04246,0.68164,1.02343,0.0006932,0.0006932,0.0006932
68,1116.8,0.64111,0.34693,0.84545,0.91086,0.83492,0.91247,0.6732,1.04122,0.70812,1.02063,0.0006734,0.0006734,0.0006734
69,1132.87,0.62943,0.34192,0.84037,0.91863,0.80213,0.90507,0.66435,1.04413,0.78008,1.02396,0.0006536,0.0006536,0.0006536
70,1148.86,0.62873,0.34138,0.8417,0.89927,0.79041,0.88803,0.63559,1.08736,0.8335,1.04127,0.0006338,0.0006338,0.0006338
71,1164.9,0.62564,0.33752,0.84005,0.92727,0.83126,0.91343,0.66131,1.07258,0.76352,1.03772,0.000614,0.000614,0.000614
72,1180.93,0.62419,0.33627,0.83779,0.90098,0.82771,0.88711,0.6483,1.03815,0.74429,1.03045,0.0005942,0.0005942,0.0005942
73,1197.04,0.62317,0.33222,0.83674,0.90325,0.80639,0.88921,0.64053,1.09227,0.77367,1.04492,0.0005744,0.0005744,0.0005744
74,1213.07,0.61206,0.33236,0.8404,0.89503,0.80265,0.89752,0.64709,1.09303,0.74601,1.04732,0.0005546,0.0005546,0.0005546
75,1229.25,0.60925,0.33094,0.83868,0.94239,0.7833,0.90069,0.64006,1.1135,0.74185,1.05215,0.0005348,0.0005348,0.0005348
76,1245.64,0.61054,0.33284,0.83919,0.91928,0.81528,0.90189,0.64239,1.09227,0.77642,1.05162,0.000515,0.000515,0.000515
77,1261.86,0.6057,0.32743,0.83459,0.91274,0.81747,0.90836,0.66217,1.04992,0.76999,1.03502,0.0004952,0.0004952,0.0004952
78,1278.14,0.60531,0.32576,0.83814,0.92677,0.83167,0.91559,0.66087,1.07176,0.75111,1.0339,0.0004754,0.0004754,0.0004754
79,1294.43,0.60349,0.32568,0.83384,0.94578,0.80549,0.90294,0.6499,1.09042,0.75793,1.05068,0.0004556,0.0004556,0.0004556
80,1310.61,0.59993,0.32309,0.83298,0.90509,0.83002,0.89804,0.6495,1.0824,0.73123,1.04004,0.0004358,0.0004358,0.0004358
81,1326.85,0.59925,0.32232,0.83494,0.89965,0.8135,0.89289,0.63473,1.10037,0.7775,1.03926,0.000416,0.000416,0.000416
82,1343.11,0.59388,0.32065,0.83279,0.90426,0.80107,0.89355,0.64191,1.0809,0.78937,1.03671,0.0003962,0.0003962,0.0003962
83,1359.41,0.59102,0.31835,0.83703,0.91316,0.82182,0.89845,0.65024,1.06507,0.77743,1.03208,0.0003764,0.0003764,0.0003764
84,1375.49,0.5836,0.31403,0.83275,0.93564,0.8135,0.90306,0.66355,1.04265,0.78787,1.02228,0.0003566,0.0003566,0.0003566
85,1391.64,0.58726,0.31619,0.83397,0.90818,0.82593,0.90871,0.65982,1.0742,0.76795,1.0391,0.0003368,0.0003368,0.0003368
86,1407.83,0.58531,0.31381,0.83123,0.92032,0.82066,0.90589,0.64958,1.09679,0.75597,1.04321,0.000317,0.000317,0.000317
87,1424.03,0.58017,0.30989,0.83162,0.93248,0.83403,0.90593,0.65563,1.07248,0.73034,1.03107,0.0002972,0.0002972,0.0002972
88,1440.18,0.58339,0.31508,0.83066,0.9146,0.79751,0.89353,0.64094,1.10041,0.81633,1.05118,0.0002774,0.0002774,0.0002774
89,1456.5,0.5741,0.30725,0.82694,0.94115,0.82593,0.91949,0.66559,1.07023,0.72069,1.03442,0.0002576,0.0002576,0.0002576
90,1472.74,0.57418,0.30785,0.82904,0.92215,0.83126,0.91129,0.65346,1.10673,0.80328,1.0583,0.0002378,0.0002378,0.0002378
91,1519.91,0.5608,0.29535,0.82883,0.91941,0.83481,0.91197,0.65253,1.09971,0.76067,1.05602,0.000218,0.000218,0.000218
92,1536.46,0.54962,0.29321,0.82975,0.92711,0.81333,0.89115,0.6428,1.08504,0.80134,1.05099,0.0001982,0.0001982,0.0001982
93,1552.59,0.54604,0.28848,0.82541,0.91913,0.82772,0.89882,0.6417,1.0934,0.78319,1.05273,0.0001784,0.0001784,0.0001784
94,1568.6,0.53792,0.28531,0.82526,0.92943,0.83837,0.90863,0.66526,1.05558,0.77495,1.03751,0.0001586,0.0001586,0.0001586
95,1584.75,0.53618,0.28249,0.82477,0.92226,0.8135,0.90083,0.65619,1.0743,0.81492,1.04645,0.0001388,0.0001388,0.0001388
96,1600.85,0.52714,0.28104,0.82311,0.92377,0.82593,0.90579,0.65999,1.08448,0.78506,1.05285,0.000119,0.000119,0.000119
97,1616.69,0.5281,0.27938,0.82285,0.93274,0.83751,0.9087,0.66321,1.0715,0.76413,1.04605,9.92e-05,9.92e-05,9.92e-05
98,1632.58,0.52768,0.27932,0.82406,0.93455,0.83697,0.9128,0.66687,1.0783,0.74434,1.04714,7.94e-05,7.94e-05,7.94e-05
99,1648.87,0.52341,0.27534,0.82427,0.93862,0.84207,0.91235,0.67484,1.0637,0.75191,1.04281,5.96e-05,5.96e-05,5.96e-05
100,1664.8,0.51839,0.27436,0.81803,0.93087,0.84547,0.91222,0.66421,1.07983,0.74266,1.04579,3.98e-05,3.98e-05,3.98e-05
